Country,Distance,immigration
Afghanistan,"9,587 km",1450
Aland islands,"13,735 km",0
Albania,"13,746 km",30
Algeria,"15,277 km",10
Andorra,"15,284 km",0
Angola,"11,979 km",0
Anguilla,"18,109 km",0
Argentina,"12,705 km",3740
Armenia,"11,680 km",20
Aruba,"17,151 km",0
Austria,"14,212 km",40
Azerbaijan,"11,482 km",20
Bahamas,"16,885 km",0
Bahrain,"10,592 km",20
Bangladesh,"7,176 km",3080
Barbados,"18,079 km",0
Belarus,"13,271 km",40
Belgium,"14,892 km",130
Belize,"15,561 km",0
Benin,"14,599 km",0
Bermuda,"18,051 km",10
Bhutan,"7,483 km",280
Bolivia,"15,025 km",50
"Bonaire,","17,284 km",0
Bosnia,"13,970 km",-90
Botswana,"10,719 km",40
Brazil,"15,579 km",4940
Brunei,"3,901 km",20
Bulgaria,"13,330 km",10
Burkina,"15,120 km",0
Burundi,"11,232 km",20
Cambodia,"5,238 km",330
Cameroon,"13,509 km",20
Canada,"14,152 km",380
Centel Aftrican Republic,"12,614 km",0
Chad,"13,217 km",0
Chile,"12,734 km",1760
China,"7,474 km",27130
Colombia,"16,238 km",6480
Comoros,"9,501 km",0
Cook Islands,"6,734 km",20
Costa Rica,"15,698 km",20
Croatia,"14,169 km",0
Cuba,"16,775 km",10
Curacao,"17,217 km",0
Cyprus,"12,480 km",0
Czech Republic,"14,130 km",70
Democratic republic of congo,"12,003 km",40
Denmark,"14,415 km",80
Djibouti,"10,683 km",0
Dominica,"18,095 km",0
Dominican Republic,"17,447 km",10
Ecuador,"15,441 km",390
Egypt,"12,448 km",530
El Salvador,"15,386 km",20
Equator Guinea,"13,427 km",0
Eritrea,"11,112 km",20
Estonia,"13,461 km",110
Ethiopia,"10,768 km",80
Falkland,"11,347 km",0
Faroe,"15,003 km",0
Fiji,"4,638 km",2900
Finland,"13,405 km",50
France,"15,159 km",1180
Gabon,"13,164 km",0
Gambia,"16,527 km",0
Georgia,"11,897 km",20
Germany,"14,466 km",700
Ghana,"14,860 km",220
Gibraltar,"15,958 km",0
Greece,"13,578 km",-180
Greenland,"14,847 km",0
Grenada,"17,830 km",0
Guadeloupe,"18,135 km",0
Guam,"4,468 km",0
Guatemala,"15,334 km",30
Guinea,"15,805 km",0
Guinea-Bissau,"16,429 km",0
Guyana,"17,371 km",0
Haiti,"17,246 km",10
Honduras,"15,710 km",10
Hong,"5,709 km",2280
Hungary,"13,839 km",50
Iceland,"15,195 km",0
India,"7,813 km",27500
Indonesia,"3,457 km",5810
Iran,"10,630 km",1860
Iraq,"11,520 km",1830
Ireland,"15,583 km",3860
Israel,"12,220 km",150
Italy,"14,382 km",820
Jamaica,"16,716 km",10
Japan,"6,852 km",1810
Jordan,"12,078 km",210
Kazakhstan,"10,515 km",60
Kenya,"10,596 km",860
Kiribati,"7,986 km",130
Kosovo,"13,700 km",10
Kuwait,"11,019 km",130
Kyrgyzstan,"9,567 km",40
Laos,"6,051 km",290
Latvia,"13,490 km",0
Lebanon,"12,226 km",760
Lesotho,"10,006 km",0
Liberia,"15,580 km",10
Libya,"13,730 km",0
Liechtenstein,"14,590 km",0
Lithuania,"13,538 km",90
Luxembourg,"14,794 km",0
Macao,"5,712 km",50
Madagascar,"8,831 km",0
Malawi,"10,307 km",10
Malaysia,"4,746 km",1030
Maldives,"7,148 km",20
Mali,"15,579 km",0
Malta,"14,187 km",-10
Marshall,"5,338 km",0
Martinique,"18,071 km",0
Mauritania,"16,387 km",0
Mauritius,"7,727 km",80
Mayotte,"9,266 km",0
Mexico,"14,354 km",400
Micronesia,"4,447 km",0
Moldova,"13,175 km",30
Monaco,"14,793 km",0
Mongolia,"8,566 km",4290
Montenegro,"13,826 km",0
Montserrat,"18,108 km",0
Morocco,"16,145 km",50
Mozambique,"9,920 km",20
Myanmar,"6,647 km",540
Namibia,"11,220 km",30
Nauru,"4,499 km",10
Nepal,"7,986 km",16630
Netherlands,"14,793 km",250
New Caledonia,"3,285 km",0
New Zealand,"4,158 km",1950
Nicaragua,"15,711 km",-10
Niger,"14,366 km",0
Nigeria,"13,956 km",720
Niue,"5,804 km",0
Norfolk,"3,394 km",0
North Macedonia,"7,325 km",30
Norway,"14,342 km",60
Oman,"9,877 km",50
Pakistan,"9,236 km",6730
Palau,"3,647 km",0
Panama,"15,914 km",10
Paraguay,"14,440 km",50
Peru,"15,075 km",820
Philippines,"4,437 km",13530
Pitcairn,"9,606 km",0
Poland,"13,860 km",240
Portugal,"16,151 km",70
Puerto,"17,774 km",0
Qatar,"10,502 km",110
Republic of the Congo,"12,784 km",0
Reunion,"7,894 km",0
Romania,"13,414 km",20
Russia,"9,984 km",680
Rwanda,"11,308 km",20
Samoa,"5,777 km",360
San Marino,"14,388 km",0
Sao Tome/Princ,"13,700 km",0
Saudi Arabia,"10,993 km",480
Senegal,"16,495 km",0
Serbia,"13,705 km",-10
Seychelles,"8,608 km",0
Sierra Leone,"15,920 km",30
Singapore,"4,377 km",570
Sint Maarten Dp,"18,101 km",0
Slovakia,"13,827 km",60
Slovenia,"14,183 km",0
Solomon,"3,282 km",50
Somalia,"10,009 km",20
South Africa,"11,104 km",2120
South Korea,"6,832 km",2680
South Sudan,"11,584 km",20
Spain,"15,751 km",720
Sri Lanka,"6,814 km",1910
Sudan,"11,960 km",130
Suriname,"17,420 km",0
Sweden,"13,806 km",140
Switzerland,"14,695 km",80
Syria,"11,986 km",1020
Taiwan,"5,618 km",1780
Tajikistan,"9,643 km",10
Tanzania,"10,591 km",20
Thailand,"5,791 km",4380
Togo,"14,712 km",0
Tokelau,"6,001 km",0
Tonga,"5,204 km",200
Trinidad,"17,751 km",0
Tunisia,"14,603 km",20
Turkey,"12,441 km",890
Turkmenistan,"10,501 km",0
Turks,"17,381 km",0
Tuvalu,"5,151 km",30
USA,"17,942 km",520
UAE,"10,164 km",410
Uganda,"11,227 km",30
Ukraine,"12,983 km",550
United Kingdom,"15,184 km","5,940"
Uruguay,"13,509 km",200
Uzbekistan,"10,270 km",90
Vanuatu,"3,619 km",-30
Venezuela,"17,001 km",150
Vietnam,"5,173 km",5930
Wallis,"5,151 km",0
Western Sahara,"16,655 km",0
Yemen,"10,278 km",60
Zambia,"10,932 km",60
Zimbabwe,"10,497 km",600
,,
,,
,,
,,
,,
,,
